,Country,Gender,Sector,Job Seniority,Company Size,Age Ranges,Connectivity Status,Count
164,PHL,Any Gender,IT,Owner,51-200 employees,35 to 54,connected to big companies,0
165,PHL,Any Gender,IT,Owner,51-200 employees,35 to 54,connected to any,580
166,PHL,Any Gender,IT,Owner,51-200 employees,25 to 34,connected to big companies,0
167,PHL,Any Gender,IT,Owner,51-200 employees,25 to 34,connected to any,610
168,PHL,Any Gender,IT,Owner,51-200 employees,18 to 24,connected to big companies,0
169,PHL,Any Gender,IT,Owner,51-200 employees,18 to 24,connected to any,0
170,PHL,Any Gender,IT,Owner,11-50 employees,Any Age Range,connected to big companies,710
171,PHL,Any Gender,IT,Owner,11-50 employees,Any Age Range,connected to any,2500
172,PHL,Any Gender,IT,Owner,11-50 employees,55+,connected to big companies,0
173,PHL,Any Gender,IT,Owner,11-50 employees,55+,connected to any,0
174,PHL,Any Gender,IT,Owner,11-50 employees,35 to 54,connected to big companies,390
175,PHL,Any Gender,IT,Owner,11-50 employees,35 to 54,connected to any,1100
176,PHL,Any Gender,IT,Owner,11-50 employees,25 to 34,connected to big companies,0
177,PHL,Any Gender,IT,Owner,11-50 employees,25 to 34,connected to any,1100
178,PHL,Any Gender,IT,Owner,11-50 employees,18 to 24,connected to big companies,0
179,PHL,Any Gender,IT,Owner,11-50 employees,18 to 24,connected to any,0
180,PHL,Any Gender,IT,Owner,2-10 employees,Any Age Range,connected to big companies,820
181,PHL,Any Gender,IT,Owner,2-10 employees,Any Age Range,connected to any,3000
182,PHL,Any Gender,IT,Owner,2-10 employees,55+,connected to big companies,0
183,PHL,Any Gender,IT,Owner,2-10 employees,55+,connected to any,0
184,PHL,Any Gender,IT,Owner,2-10 employees,35 to 54,connected to big companies,420
185,PHL,Any Gender,IT,Owner,2-10 employees,35 to 54,connected to any,1200
186,PHL,Any Gender,IT,Owner,2-10 employees,25 to 34,connected to big companies,320
187,PHL,Any Gender,IT,Owner,2-10 employees,25 to 34,connected to any,1300
188,PHL,Any Gender,IT,Owner,2-10 employees,18 to 24,connected to big companies,0
189,PHL,Any Gender,IT,Owner,2-10 employees,18 to 24,connected to any,330
190,PHL,Any Gender,IT,Owner,Myself Only,Any Age Range,connected to big companies,0
191,PHL,Any Gender,IT,Owner,Myself Only,Any Age Range,connected to any,470
192,PHL,Any Gender,IT,Owner,Myself Only,55+,connected to big companies,0
193,PHL,Any Gender,IT,Owner,Myself Only,55+,connected to any,0
194,PHL,Any Gender,IT,Owner,Myself Only,35 to 54,connected to big companies,0
195,PHL,Any Gender,IT,Owner,Myself Only,35 to 54,connected to any,0
196,PHL,Any Gender,IT,Owner,Myself Only,25 to 34,connected to big companies,0
197,PHL,Any Gender,IT,Owner,Myself Only,25 to 34,connected to any,0
198,PHL,Any Gender,IT,Owner,Myself Only,18 to 24,connected to big companies,0
199,PHL,Any Gender,IT,Owner,Myself Only,18 to 24,connected to any,0
200,PHL,Any Gender,IT,Partner,Any Company Size,Any Age Range,connected to big companies,410
201,PHL,Any Gender,IT,Partner,Any Company Size,Any Age Range,connected to any,1700
202,PHL,Any Gender,IT,Partner,Any Company Size,55+,connected to big companies,0
