,Country,Gender,Company Industry,Age Range,Job seniority,Company Size,Count
127,VNM,Any Gender,Any Company Industry,55+,Owner,11-50 employees,0
128,VNM,Any Gender,Any Company Industry,55+,Owner,2-10 employees,0
129,VNM,Any Gender,Any Company Industry,55+,Owner,Myself Only,0
130,VNM,Any Gender,Any Company Industry,55+,Partner,Any Company Size,0
131,VNM,Any Gender,Any Company Industry,55+,Partner,"10,001+ employees",0
132,VNM,Any Gender,Any Company Industry,55+,Partner,"5001-10,000 employees",0
133,VNM,Any Gender,Any Company Industry,55+,Partner,1001-5000 employees,0
134,VNM,Any Gender,Any Company Industry,55+,Partner,501-1000 employees,0
135,VNM,Any Gender,Any Company Industry,55+,Partner,201-500 employees,0
136,VNM,Any Gender,Any Company Industry,55+,Partner,51-200 employees,0
137,VNM,Any Gender,Any Company Industry,55+,Partner,11-50 employees,0
138,VNM,Any Gender,Any Company Industry,55+,Partner,2-10 employees,0
139,VNM,Any Gender,Any Company Industry,55+,Partner,Myself Only,0
140,VNM,Any Gender,Any Company Industry,55+,CXO,Any Company Size,710
141,VNM,Any Gender,Any Company Industry,55+,CXO,"10,001+ employees",0
142,VNM,Any Gender,Any Company Industry,55+,CXO,"5001-10,000 employees",0
143,VNM,Any Gender,Any Company Industry,55+,CXO,1001-5000 employees,0
144,VNM,Any Gender,Any Company Industry,55+,CXO,501-1000 employees,0
145,VNM,Any Gender,Any Company Industry,55+,CXO,201-500 employees,0
146,VNM,Any Gender,Any Company Industry,55+,CXO,51-200 employees,0
147,VNM,Any Gender,Any Company Industry,55+,CXO,11-50 employees,0
148,VNM,Any Gender,Any Company Industry,55+,CXO,2-10 employees,0
149,VNM,Any Gender,Any Company Industry,55+,CXO,Myself Only,0
150,VNM,Any Gender,Any Company Industry,55+,VP,Any Company Size,660
151,VNM,Any Gender,Any Company Industry,55+,VP,"10,001+ employees",0
152,VNM,Any Gender,Any Company Industry,55+,VP,"5001-10,000 employees",0
153,VNM,Any Gender,Any Company Industry,55+,VP,1001-5000 employees,0
154,VNM,Any Gender,Any Company Industry,55+,VP,501-1000 employees,0
155,VNM,Any Gender,Any Company Industry,55+,VP,201-500 employees,0
156,VNM,Any Gender,Any Company Industry,55+,VP,51-200 employees,0
157,VNM,Any Gender,Any Company Industry,55+,VP,11-50 employees,0
158,VNM,Any Gender,Any Company Industry,55+,VP,2-10 employees,0
159,VNM,Any Gender,Any Company Industry,55+,VP,Myself Only,0
160,VNM,Any Gender,Any Company Industry,55+,Director,Any Company Size,1600
161,VNM,Any Gender,Any Company Industry,55+,Director,"10,001+ employees",0
162,VNM,Any Gender,Any Company Industry,55+,Director,"5001-10,000 employees",0
163,VNM,Any Gender,Any Company Industry,55+,Director,1001-5000 employees,0
164,VNM,Any Gender,Any Company Industry,55+,Director,501-1000 employees,0
165,VNM,Any Gender,Any Company Industry,55+,Director,201-500 employees,0
166,VNM,Any Gender,Any Company Industry,55+,Director,51-200 employees,0
167,VNM,Any Gender,Any Company Industry,55+,Director,11-50 employees,0
168,VNM,Any Gender,Any Company Industry,55+,Director,2-10 employees,0
169,VNM,Any Gender,Any Company Industry,55+,Director,Myself Only,0
