Country,Gender,Age Range,Job seniority,Company Size,Excluded Company Industry,Count
PHL,Any Gender,55+,Any Job Seniority,201-500 employees,IT,3500
PHL,Any Gender,55+,Any Job Seniority,51-200 employees,Neither IT nor Finance,3600
PHL,Any Gender,55+,Any Job Seniority,51-200 employees,Finance,4300
PHL,Any Gender,55+,Any Job Seniority,51-200 employees,IT,4000
PHL,Any Gender,55+,Any Job Seniority,11-50 employees,Neither IT nor Finance,3700
PHL,Any Gender,55+,Any Job Seniority,11-50 employees,Finance,4500
PHL,Any Gender,55+,Any Job Seniority,11-50 employees,IT,4000
PHL,Any Gender,55+,Any Job Seniority,2-10 employees,Neither IT nor Finance,2600
PHL,Any Gender,55+,Any Job Seniority,2-10 employees,Finance,3100
PHL,Any Gender,55+,Any Job Seniority,2-10 employees,IT,2900
PHL,Any Gender,55+,Any Job Seniority,Myself Only,Neither IT nor Finance,380
PHL,Any Gender,55+,Any Job Seniority,Myself Only,Finance,460
PHL,Any Gender,55+,Any Job Seniority,Myself Only,IT,450
PHL,Any Gender,55+,Owner,Any Company Size,Neither IT nor Finance,6100
PHL,Any Gender,55+,Owner,Any Company Size,Finance,6700
PHL,Any Gender,55+,Owner,Any Company Size,IT,6400
